SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
GRADIENTE,2026-06-05,2.92,3.07,5.11,3.07,-4.89,-42.86,-4.89,-22.13,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C40,C41,C42,C44,C45,C46,C47,C54,C56,C57,C60,C62,C64,C65,C66,C68,C69,C70,C72,C73,C74",59
DSSL,2026-06-05,1288.7,1356.5,1924.8,1356.5,-5.0,-33.05,-5.0,-26.19,"C1,C2,C3,C9,C11,C12,C19,C20,C26,C27,C28,C35,C38,C42,C46,C47,C48,C49,C50,C51,C52,C53,C55,C57,C58,C59,C61,C63,C64,C65,C66,C68,C69,C70,C72,C73,C74,C76,C77",39
EXICOM,2026-06-05,133.85,144.98,275.71,142.89,-6.33,-51.45,-7.68,-16.03,"C1,C2,C4,C5,C6,C9,C10,C11,C13,C14,C15,C18,C19,C21,C22,C23,C26,C27,C29,C30,C31,C38,C39,C40,C41,C42,C43,C44,C45,C46,C54,C56,C60,C64,C68,C72,C75",37
MEDICAMEQ,2026-06-05,245.65,255.7,560.7,253.9,-3.25,-56.19,-3.93,-9.54,"C4,C5,C13,C14,C21,C22,C29,C30,C36,C39,C40,C43,C44,C48,C51,C75",16
KROSS,2026-06-05,178.11,191.43,237.6,186.0,-4.24,-25.04,-6.96,-6.67,"C38,C42,C46,C64,C65,C66,C68,C69,C70,C72,C73,C74",12
TIRUMALCHM,2026-06-05,174.14,178.8,341.0,178.1,-2.22,-48.93,-2.61,-15.15,"C39,C40,C41,C43,C44,C45",6
TOTAL,2026-06-05,50.11,52.48,93.5,51.6,-2.89,-46.41,-4.52,-6.23,"C39,C40,C41,C43,C44,C45",6
GICL,2026-06-05,25.16,26.93,43.93,25.76,-2.33,-42.73,-6.57,-39.05,"C40,C41,C44,C45",4
NEXTMEDIA,2026-06-05,3.8,3.9,8.48,3.88,-2.06,-55.19,-2.56,-3.8,"C39,C40,C43,C44",4
SOLEX,2026-06-05,1109.9,1153.6,1985.0,1133.3,-2.06,-44.09,-3.79,-8.91,"C40,C41,C44,C45",4
THOMASCOTT,2026-06-05,253.5,262.75,459.8,260.2,-2.57,-44.87,-3.52,-18.04,"C40,C41,C44,C45",4
TRU,2026-06-05,5.32,5.5,13.24,5.43,-2.03,-59.82,-3.27,-11.04,"C39,C40,C43,C44",4
5PAISA,2026-06-05,311.6,320.6,487.7,318.0,-2.01,-36.11,-2.81,-4.91,"C67,C71,C78",3
